"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"unique"
"hsa-miR-3200-3p"	-0.197278857427824	3.48091333198334	0.763100097422418	0.382360093007621	0.64023085340811	FALSE
"hsa-miR-376c-3p"	-0.196178215581187	7.73179233864763	0.743374835877482	0.388581937945152	0.647274311967159	FALSE
"hsa-miR-3615"	0.220892775593445	4.74806695645701	0.742647574884055	0.388814083230273	0.647274311967159	FALSE
"hsa-miR-127-5p"	0.325600928817302	6.10751661113283	0.72958594429951	0.393017432982297	0.651168718224347	FALSE
"hsa-miR-133a-3p"	-0.211806241147915	4.89902170042409	0.728362646272277	0.393414433927209	0.651168718224347	FALSE
"hsa-miR-628-5p"	-0.183400157694281	5.78580312867363	0.719813928013085	0.396204950914478	0.65390845766974	FALSE
"hsa-miR-5586-5p"	0.484403273893972	-0.00332358569249738	0.715636534388475	0.397578945633359	0.654301350528042	TRUE
"hsa-miR-2355-5p"	-0.367081782335586	0.423937261222624	0.711819663262197	0.398840388880603	0.654507304829708	TRUE
"hsa-miR-1185-1-3p"	0.226981091069125	5.27560129128204	0.7055342697092	0.400930324392556	0.656067803551456	FALSE
"hsa-miR-100-3p"	0.173398533399808	6.90915379994436	0.701127653944824	0.402405045424534	0.656281569935375	FALSE
"hsa-miR-2277-5p"	-0.244243402419124	1.46896679678372	0.695305904723267	0.404365487919208	0.656281569935375	FALSE
"hsa-miR-1185-5p"	-0.261030988945726	4.79575456091114	0.69496980448402	0.404479092581698	0.656281569935375	FALSE
"hsa-miR-95-3p"	0.259480993706161	3.00161612983171	0.683162164815308	0.408499966179165	0.660943765503367	FALSE
"hsa-miR-34a-3p"	-0.208029166745939	3.7766200720774	0.672066343006602	0.412332112184127	0.665275340666826	FALSE
"hsa-miR-138-1-3p"	0.21289953465802	6.06311201877799	0.664945974117216	0.414819239634881	0.666582845656963	FALSE
"hsa-miR-421"	0.14765968759572	7.45658841124135	0.661387670227673	0.416070470592076	0.666582845656963	FALSE
"hsa-miR-379-3p"	-0.222350359831691	4.28678884082905	0.659846107025683	0.416614278535602	0.666582845656963	FALSE
"hsa-miR-665"	0.242492367979084	3.88905796923752	0.648054293660077	0.420809180425509	0.671429606440702	FALSE
"hsa-miR-331-3p"	-0.198749353139676	7.11481374800046	0.634551102515353	0.42569083730775	0.676145321417234	FALSE
"hsa-miR-125b-5p"	-0.125592790525321	17.239636197707	0.631594192745979	0.426771155886327	0.676145321417234	FALSE
"hsa-miR-433-3p"	0.284255155768355	2.22253908081345	0.63018822674853	0.427286279506724	0.676145321417234	FALSE
"hsa-miR-664a-5p"	0.161753046084506	7.5145481986189	0.606404896501154	0.436144650094401	0.688272105354452	FALSE
"hsa-miR-450a-2-3p"	-0.368805443467163	0.0603150183707326	0.60176840410985	0.4379040941706	0.689160541645534	TRUE
"hsa-miR-3928-3p"	0.25698544405699	2.0589328233978	0.591236872911419	0.441941225826622	0.693116240917872	FALSE
"hsa-miR-187-3p"	-0.346194002501783	0.844475493899348	0.587783002302719	0.443277700738623	0.693116240917872	FALSE
"hsa-miR-629-5p"	-0.154277314941744	5.72461381986769	0.585804140198485	0.444046233793481	0.693116240917872	FALSE
"hsa-miR-149-5p"	-0.153793387059999	7.05679654137222	0.582764095690503	0.445230918645161	0.693116240917872	FALSE
"hsa-miR-301a-5p"	-0.223361352846845	1.92574583130278	0.578441138557142	0.446923994327896	0.693876605748971	FALSE
"hsa-miR-10a-5p"	0.259303858615916	1.59352176559523	0.570229846342422	0.450167596029496	0.697033697077929	FALSE
